#{"t_start": 1756313696.299205, "env_id": "ALE/MarioBros-v5"}
r,l,t
17600.0,1875,7.68905
9600.0,1515,12.561874
17600.0,2318,18.880366
10400.0,1175,21.898598
11200.0,1569,26.152212
12000.0,1531,147.280039
7200.0,1055,151.003714
10400.0,1521,156.620998
4000.0,1525,160.904743
7200.0,1528,166.19544
7200.0,1223,170.654228
8800.0,1575,298.979085
17600.0,1802,303.738865
3200.0,856,305.992228
17600.0,1733,310.524492
7200.0,1706,315.693677
5600.0,1163,318.925879
10400.0,1801,451.908331
17600.0,2075,460.577912
7200.0,1857,465.762892
17600.0,2065,473.772916
10400.0,1509,587.219285
5600.0,1455,591.134307
12000.0,1621,595.78317
16800.0,1780,600.502613
17600.0,1983,606.054699
12000.0,1444,720.290213
17600.0,2163,728.864362
5600.0,1010,733.645741
17600.0,2274,740.083167
4000.0,1533,744.149936
16800.0,2418,868.30182
17600.0,2504,875.337814
5600.0,1715,880.524729
15200.0,2206,887.242572
18400.0,2148,1019.320961
17600.0,2032,1027.68214
16000.0,1848,1033.423559
6400.0,1414,1037.23661
17600.0,2601,1152.758173
17600.0,1913,1159.555078
8800.0,1470,1164.636678
8800.0,1364,1169.269713
5600.0,1663,1174.87263
16800.0,1877,1317.479505
17600.0,1879,1323.037426
12000.0,1565,1327.310489
7200.0,969,1329.986652
8800.0,1530,1337.257237
11200.0,1347,1343.579827
7200.0,1084,1468.405005
17600.0,2118,1474.49595
10400.0,1203,1478.026507
17600.0,1996,1484.234841
9600.0,1344,1488.421639
4800.0,1322,1492.79004
7200.0,1257,1611.999733
6400.0,1153,1615.441675
8800.0,1170,1618.775723
4800.0,1158,1622.222015
9600.0,1650,1626.953646
5600.0,987,1629.798309
16000.0,1996,1750.456161
11200.0,1448,1754.501741
16800.0,2124,1760.556241
16800.0,1914,1765.721371
16800.0,1871,1770.727828
7200.0,1282,1891.175409
11200.0,1369,1896.368131
9600.0,1208,1902.954978
11200.0,1674,1909.466411
18400.0,1975,1916.983026
4000.0,1066,1921.09254
7200.0,1504,2036.830261
16800.0,2089,2042.705259
5600.0,1202,2045.859065
9600.0,1372,2049.680699
6400.0,1642,2054.25964
16800.0,2529,2185.739765
17600.0,1716,2191.284146
8000.0,1419,2195.438624
17600.0,2423,2202.629668
12000.0,1831,2208.105524
11200.0,1349,2325.608258
8000.0,1442,2329.456694
16800.0,1794,2335.020176
9600.0,1288,2338.409707
16000.0,1993,2343.748713
11200.0,1583,2460.357819
6400.0,1491,2464.542944
7200.0,917,2467.238584
8000.0,1086,2470.493277
5600.0,1058,2473.264771
12000.0,1213,2477.080353
8800.0,1097,2480.42518
16800.0,2030,2607.403667
17600.0,1709,2612.100061
12000.0,1374,2615.964993
5600.0,1226,2619.766337
17600.0,1639,2625.826682
12000.0,1664,2740.976345
8800.0,1420,2745.168229
18400.0,1876,2750.63457
7200.0,1201,2754.031662
16000.0,2015,2760.29738
11200.0,1590,2764.825325
14400.0,2340,2889.8057
12000.0,1495,2894.070754
12000.0,2092,2900.090961
17600.0,1624,2904.592878
11200.0,1410,3018.202156
8800.0,984,3021.488868
12800.0,1363,3025.859298
9600.0,1671,3031.577412
5600.0,1171,3035.00789
19200.0,2356,3042.934726
12000.0,1466,3174.782596
4800.0,1103,3178.864973
12000.0,1420,3183.191684
8800.0,1273,3186.86888
4000.0,1292,3190.40523
4000.0,1129,3193.578916
6400.0,1022,3196.423674
18400.0,2023,3315.237853
12000.0,1784,3319.747365
12000.0,2228,3325.487149
7200.0,1277,3328.713746
4800.0,1135,3331.526091
7200.0,1134,3437.639095
8000.0,1603,3441.759288
11200.0,1565,3445.719728
12000.0,1138,3448.82176
16000.0,1790,3453.844647
17600.0,2150,3460.666225
17600.0,1991,3597.70425
6400.0,1549,3601.815063
10400.0,1426,3605.460109
3200.0,914,3607.809029
6400.0,1354,3611.569167
10400.0,1165,3614.646379
16800.0,1910,3731.558523
14400.0,1895,3736.995544
3200.0,916,3739.4966
18400.0,2094,3745.475419
3200.0,769,3747.532386
5600.0,1192,3750.842017
16800.0,2175,3865.282416
15200.0,1988,3870.440835
4000.0,1056,3873.049668
11200.0,1846,3877.736238
17600.0,1981,3981.46268
17600.0,2551,3988.065729
17600.0,2217,3993.764596
3200.0,840,3995.780359
12000.0,1686,4000.285026
11200.0,1516,4126.435825
12000.0,1492,4131.265845
5600.0,1190,4135.400929
17600.0,1598,4140.883723
8000.0,1849,4146.972862
4000.0,1105,4150.632534
16000.0,1793,4260.607072
8000.0,982,4264.158816
7200.0,1654,4270.283573
17600.0,2579,4277.715138
6400.0,1658,4282.0109
7200.0,1494,4409.011016
6400.0,2236,4414.946916
18400.0,1780,4419.459669
8800.0,1486,4423.511583
17600.0,1741,4428.186111
12000.0,1650,4535.4141
11200.0,1455,4539.694606
18400.0,2054,4545.518057
7200.0,1032,4548.358589
11200.0,1372,4552.050522
12000.0,1352,4555.856586
5600.0,845,4676.821797
5600.0,1107,4679.787416
16800.0,2017,4685.445113
8000.0,978,4687.961692
17600.0,2114,4693.489108
17600.0,2156,4834.767344
17600.0,2284,4842.211704
7200.0,1179,4846.135966
4000.0,1163,4849.211258
9600.0,1869,4855.399472
8000.0,1484,4860.847437
7200.0,1319,4991.881977
17600.0,2181,5002.358004
4000.0,1279,5007.96892
7200.0,1608,5014.35631
17600.0,1811,5021.350072
8800.0,1486,5163.496551
8000.0,1739,5168.730102
3200.0,1246,5172.093374
17600.0,2137,5178.377753
17600.0,1707,5183.134624
5600.0,1480,5296.486195
11200.0,1278,5300.136484
4000.0,1112,5303.169544
4800.0,944,5305.496117
8800.0,1041,5308.116406
17600.0,1974,5313.155615
4000.0,840,5315.25391
16000.0,2155,5434.134632
17600.0,2373,5440.464232
8000.0,1842,5445.616192
17600.0,1624,5449.872479
11200.0,1886,5559.590961
7200.0,917,5562.141228
8000.0,1624,5567.701372
5600.0,1519,5571.888049
10400.0,1577,5576.256024
6400.0,1513,5580.646471
12000.0,1943,5698.034893
17600.0,1694,5702.583066
7200.0,1407,5706.301732
17600.0,2213,5712.317032
4800.0,1252,5715.59418
7200.0,1358,5828.338088
17600.0,1989,5836.659336
10400.0,1943,5842.923236
17600.0,1662,5848.050457
3200.0,1251,5851.481616
11200.0,1494,5981.851052
16800.0,1981,5987.612578
4800.0,1481,5991.939831
11200.0,1627,5996.902415
17600.0,2217,6006.006263
9600.0,1487,6127.351679
17600.0,1799,6132.3589
5600.0,1428,6136.222234
17600.0,2012,6141.683017
8000.0,1272,6145.716882
10400.0,1794,6260.276311
12000.0,1834,6270.588166
4000.0,1217,6277.769692
5600.0,1020,6282.886102
17600.0,1876,6289.78234
15200.0,1826,6297.731759
8800.0,986,6464.460863
11200.0,1425,6469.128912
10400.0,1774,6475.198689
12000.0,1496,6480.597324
17600.0,2256,6490.507566
9600.0,1711,6620.473858
16000.0,2225,6626.502748
11200.0,1303,6630.160952
8800.0,1352,6633.975259
12000.0,2014,6639.95172
12000.0,1234,6761.998781
16000.0,2179,6768.211485
16800.0,1794,6773.369962
4000.0,1161,6776.517052
6400.0,1278,6780.032155
16800.0,2460,6905.462786
11200.0,1663,6911.147561
3200.0,1104,6914.970841
10400.0,1560,6920.468324
5600.0,1002,6923.970479
11200.0,1633,6929.950981
17600.0,1848,7064.326544
12000.0,1649,7069.231024
7200.0,1141,7072.400472
4800.0,1138,7075.829456
11200.0,1198,7079.34737
8800.0,1722,7084.561929
17600.0,1576,7195.83044
5600.0,1226,7199.157945
12000.0,1565,7203.579801
5600.0,930,7206.289346
