#{"t_start": 1756398273.156778, "env_id": "ALE/MarioBros-v5"}
r,l,t
1600.0,772,4.232752
0.0,526,5.269396
0.0,486,6.191283
0.0,840,7.853822
0.0,813,9.681517
0.0,1489,13.061058
0.0,1566,16.223939
0.0,830,17.82916
1600.0,996,19.735545
1600.0,1527,23.329437
0.0,824,24.959856
0.0,1080,27.137505
0.0,1420,30.270462
0.0,1113,32.660749
0.0,876,34.591244
0.0,180,34.884488
0.0,953,36.958055
4000.0,2160,41.724798
0.0,834,44.132007
0.0,400,44.864006
0.0,173,45.10712
1600.0,1665,48.513632
0.0,1198,50.945259
0.0,678,52.382784
1600.0,1128,54.640073
0.0,705,56.091761
0.0,254,56.636779
0.0,910,59.435171
0.0,692,61.087987
0.0,1004,63.841152
0.0,228,64.198363
0.0,267,64.611133
0.0,912,66.705693
0.0,810,68.384947
1600.0,1228,71.200464
0.0,828,72.859443
0.0,834,74.401436
1600.0,1605,77.949726
0.0,1768,83.529839
0.0,911,87.609967
0.0,988,89.76823
3200.0,1851,93.837408
0.0,1011,96.107484
1600.0,1029,98.975615
0.0,426,99.775209
0.0,1686,105.293572
0.0,1126,109.608734
0.0,983,112.468906
1600.0,538,113.684682
0.0,833,116.055692
0.0,1073,119.113793
0.0,1383,122.523173
1600.0,1477,126.158926
800.0,1684,131.193108
0.0,728,138.151072
0.0,470,140.771675
0.0,1165,147.805107
0.0,1324,154.988175
0.0,315,156.77719
0.0,1268,163.716828
1600.0,1273,170.748666
0.0,539,173.819968
0.0,842,178.448102
1600.0,2247,191.620799
0.0,823,196.090428
0.0,1556,204.782656
1600.0,1456,215.213288
0.0,553,218.592597
0.0,705,223.977877
0.0,406,227.696888
0.0,2058,240.300489
1600.0,504,242.99129
0.0,481,245.413781
1600.0,854,250.801916
0.0,1144,259.582916
0.0,1000,266.508119
0.0,1826,278.138861
0.0,439,281.316025
0.0,546,284.361147
0.0,759,288.369573
0.0,1042,294.483819
0.0,1638,305.983291
0.0,1177,313.614799
1600.0,426,316.186932
0.0,562,320.503456
800.0,516,323.870412
0.0,996,330.636708
0.0,1261,339.043518
0.0,964,344.610556
0.0,1336,352.569881
0.0,434,354.75883
0.0,709,358.568387
0.0,1332,367.922686
0.0,963,374.034018
0.0,742,378.250803
0.0,826,383.826521
0.0,820,389.246571
0.0,991,396.029715
0.0,1264,404.404342
800.0,1844,418.010574
1600.0,1359,426.74475
800.0,669,430.704494
0.0,740,435.218622
0.0,1848,449.571955
0.0,2129,463.527931
1600.0,1292,472.899008
0.0,692,477.72303
0.0,731,483.985644
0.0,320,487.155399
1600.0,591,492.321383
0.0,704,496.257348
800.0,795,500.700285
0.0,722,504.699411
0.0,934,509.838655
1600.0,994,515.75947
0.0,692,520.062182
0.0,689,524.3367
0.0,1568,533.718561
0.0,544,536.598167
800.0,889,541.589272
1600.0,1656,551.343529
0.0,696,555.327975
0.0,742,559.983647
0.0,1288,569.292566
0.0,780,574.240551
0.0,832,580.795025
0.0,449,583.389055
0.0,911,589.427822
0.0,1207,596.399662
0.0,764,600.644132
0.0,460,603.327138
0.0,1523,612.172833
0.0,705,616.458791
0.0,1119,622.89812
1600.0,1634,632.408129
0.0,1134,640.514701
1600.0,810,647.952581
0.0,1111,656.347917
0.0,734,661.451687
0.0,935,667.891587
1600.0,909,673.952184
0.0,562,677.90081
0.0,826,683.121991
0.0,1488,691.999968
0.0,567,694.93355
0.0,938,700.151127
0.0,1935,711.524014
0.0,960,717.225922
0.0,559,720.656376
0.0,615,725.015897
0.0,1570,737.530493
0.0,700,742.288646
1600.0,2288,760.434816
0.0,1080,766.571176
0.0,636,770.159879
0.0,1202,776.824703
1600.0,1203,783.703878
0.0,537,786.566483
0.0,333,788.143032
0.0,1224,794.97103
0.0,1106,801.799078
0.0,1387,810.250058
0.0,835,814.74945
0.0,1055,820.735929
800.0,2082,832.803773
0.0,1328,841.074279
0.0,782,845.610285
0.0,1078,851.764708
0.0,1130,858.253801
0.0,914,863.363456
0.0,2175,876.591077
1600.0,820,881.145924
0.0,853,886.023116
800.0,952,891.343696
0.0,2050,903.135396
0.0,843,907.780595
0.0,837,912.502771
800.0,421,914.561088
0.0,964,919.964566
0.0,1486,928.713435
1600.0,1197,935.460994
0.0,537,938.274645
0.0,844,943.004103
0.0,1994,954.586232
0.0,865,959.450492
0.0,1648,968.944077
0.0,325,970.536969
0.0,1989,983.28745
0.0,1461,993.832656
0.0,1591,1006.49358
0.0,781,1010.816745
2400.0,1148,1017.46993
0.0,614,1020.731626
0.0,2353,1035.557896
0.0,881,1040.386053
0.0,693,1044.182971
0.0,1135,1050.583394
800.0,1795,1061.235853
1600.0,2324,1074.905557
0.0,1449,1083.205321
1600.0,1426,1091.511529
0.0,1538,1100.284329
0.0,1489,1108.959523
0.0,390,1110.968185
0.0,333,1112.658267
1600.0,1625,1122.159032
1600.0,1684,1131.923672
0.0,1614,1141.589471
0.0,321,1143.15765
0.0,1422,1151.668039
0.0,747,1156.324652
800.0,2288,1169.768735
0.0,477,1172.292945
0.0,508,1174.933452
0.0,1423,1183.478014
0.0,2075,1196.978022
0.0,1090,1203.328538
1600.0,1367,1211.359273
0.0,1341,1219.042941
0.0,847,1223.888001
0.0,685,1227.693551
0.0,730,1231.9566
0.0,1499,1241.074457
0.0,552,1244.253997
0.0,842,1249.239719
0.0,942,1254.906811
800.0,1506,1263.943082
0.0,1302,1271.406205
1600.0,1083,1277.605035
0.0,1663,1287.173083
0.0,1574,1296.305803
0.0,1045,1302.172886
0.0,1559,1311.138826
0.0,1208,1317.997513
0.0,1492,1326.52607
1600.0,2069,1338.882065
1600.0,1752,1349.439868
0.0,1322,1357.479853
0.0,512,1360.101324
0.0,2197,1372.987402
0.0,471,1375.664321
0.0,1603,1385.31666
1600.0,1249,1392.505466
0.0,1529,1401.400397
0.0,481,1404.057601
0.0,1721,1414.260662
1600.0,1849,1425.154232
0.0,840,1429.794307
0.0,1530,1438.657594
0.0,1144,1445.428782
800.0,2046,1458.061808
0.0,1293,1465.521606
0.0,1270,1472.840723
0.0,872,1477.715306
1600.0,836,1482.522349
0.0,945,1488.254307
0.0,680,1492.036142
0.0,1275,1499.473726
0.0,1554,1508.62623
0.0,1933,1520.172556
800.0,1468,1528.760818
1600.0,1829,1539.651254
1600.0,1581,1548.980315
0.0,2135,1561.533867
0.0,1044,1567.411018
0.0,969,1573.050619
0.0,991,1578.797126
1600.0,1740,1589.100547
0.0,1419,1597.35156
0.0,737,1601.544978
0.0,2485,1616.710305
0.0,2414,1631.064185
0.0,880,1636.079899
0.0,1980,1647.817557
0.0,1348,1655.89532
800.0,616,1659.211286
0.0,713,1663.169291
0.0,1020,1668.808517
800.0,1551,1677.918328
0.0,721,1682.027753
0.0,1527,1690.853548
800.0,1481,1699.523234
800.0,542,1702.534212
0.0,987,1708.192197
0.0,1521,1717.046655
0.0,937,1722.335843
0.0,472,1724.804085
0.0,683,1728.614325
0.0,484,1731.138205
0.0,1498,1740.299919
0.0,1279,1747.724454
0.0,696,1751.451348
0.0,1523,1760.366822
0.0,1550,1769.451666
0.0,869,1774.444869
800.0,1639,1783.987772
0.0,782,1788.30392
0.0,992,1793.854168
800.0,990,1799.523434
0.0,693,1803.415138
800.0,1455,1811.919347
0.0,717,1815.910434
800.0,1927,1827.191996
0.0,828,1831.863678
0.0,748,1836.128322
0.0,887,1840.990106
0.0,766,1845.242653
0.0,1283,1852.670381
0.0,1263,1859.978566
4000.0,1256,1867.335862
0.0,1436,1875.954395
0.0,790,1880.642281
0.0,1130,1887.87316
800.0,2010,1900.652299
1600.0,691,1904.917728
800.0,2131,1917.788111
800.0,2063,1930.311527
1600.0,2128,1944.030364
0.0,1036,1951.281349
0.0,1356,1959.92723
1600.0,1566,1969.819273
0.0,683,1974.052726
0.0,2214,1987.75282
1600.0,1451,1997.068075
1600.0,1756,2011.861265
0.0,1581,2025.737409
0.0,1385,2036.507603
0.0,1703,2046.957182
0.0,1018,2052.799412
2400.0,1023,2058.735929
0.0,2126,2072.15483
0.0,2547,2087.659626
1600.0,1861,2098.689989
0.0,1334,2106.711268
1600.0,1422,2115.102246
