#{"t_start": 1756313696.207565, "env_id": "ALE/MarioBros-v5"}
r,l,t
11200.0,1421,6.470613
7200.0,1695,11.869626
18400.0,2097,17.488805
9600.0,1202,20.725121
5600.0,1064,23.597873
17600.0,2124,145.414981
5600.0,1393,151.038607
8800.0,1273,155.99599
7200.0,1192,159.366198
9600.0,1578,164.652493
17600.0,1722,170.676539
11200.0,1790,299.622405
6400.0,1117,302.508359
15200.0,1803,307.356896
9600.0,1441,311.287825
5600.0,888,313.696147
12000.0,1534,318.097811
4000.0,1570,449.983984
4800.0,1436,456.047355
11200.0,1656,461.845494
10400.0,1430,465.828898
5600.0,1001,469.577903
17600.0,2006,585.738926
17600.0,1751,590.306407
17600.0,1725,595.386426
3200.0,1183,598.497339
16000.0,1839,603.517321
8000.0,1527,608.041725
6400.0,1135,721.518267
9600.0,1408,727.187837
11200.0,1513,733.606137
17600.0,1798,738.786154
10400.0,1206,741.906061
8800.0,1016,744.50938
10400.0,1661,866.550768
8800.0,1203,869.707965
6400.0,1125,872.558664
12000.0,1127,875.81154
7200.0,1439,880.243796
4800.0,773,882.357253
9600.0,1755,887.798322
8800.0,1298,1016.174547
6400.0,1555,1022.845586
6400.0,1139,1027.348441
17600.0,1721,1032.813668
6400.0,1444,1036.587938
3200.0,1640,1041.724014
5600.0,1518,1153.555431
10400.0,1176,1157.801857
10400.0,1642,1163.751384
8800.0,1229,1167.783117
10400.0,1773,1173.73854
8000.0,1384,1178.64739
8800.0,1376,1318.902251
17600.0,2053,1325.134671
17600.0,2190,1331.983855
9600.0,1356,1338.491174
9600.0,1423,1345.001815
17600.0,2190,1472.737923
16000.0,2232,1479.424546
17600.0,1721,1484.70361
17600.0,1627,1489.691503
7200.0,1147,1493.638632
6400.0,1234,1612.567271
4800.0,1023,1615.684146
4000.0,1328,1619.433288
17600.0,2216,1625.956752
6400.0,843,1628.341717
6400.0,1718,1633.846811
10400.0,1449,1752.294459
4000.0,955,1754.967021
17600.0,2026,1760.684862
7200.0,1133,1763.71584
4000.0,1265,1767.032157
16800.0,1960,1772.149752
2400.0,715,1891.05868
17600.0,2112,1900.968988
11200.0,1276,1906.124024
7200.0,1382,1911.339486
12000.0,1588,1917.234578
6400.0,1181,1921.619058
5600.0,1054,2036.070257
17600.0,2145,2042.046772
7200.0,1534,2046.25797
3200.0,1423,2050.210117
17600.0,2339,2056.871839
12000.0,1874,2186.384891
15200.0,2113,2193.060548
10400.0,1474,2197.513595
19200.0,2387,2204.390101
5600.0,1420,2322.359584
17600.0,2155,2328.242205
5600.0,1717,2333.665806
17600.0,1689,2338.225106
10400.0,1423,2342.021861
8800.0,1378,2345.895621
15200.0,2103,2463.872777
6400.0,911,2466.607
8800.0,1212,2470.163141
17600.0,2252,2476.99907
9600.0,1325,2481.239143
3200.0,1322,2605.711651
8800.0,1364,2609.60589
11200.0,1634,2614.119934
18400.0,2197,2620.893178
4000.0,1245,2625.692635
11200.0,1845,2741.409309
8800.0,1099,2744.581072
2400.0,1190,2747.932262
17600.0,2415,2755.467962
9600.0,1656,2760.17107
12000.0,1492,2764.289223
4000.0,940,2885.238122
10400.0,1511,2889.473561
9600.0,1459,2893.591793
16800.0,2178,2899.81784
8800.0,1358,2903.575843
4800.0,1202,2906.8257
5600.0,1331,3020.603707
7200.0,1392,3024.839631
11200.0,1879,3031.386358
5600.0,1107,3034.765677
18400.0,1900,3040.778834
5600.0,1584,3172.777066
8000.0,1348,3178.196567
5600.0,1052,3181.51559
8000.0,1529,3185.885482
6400.0,2100,3191.976379
6400.0,1363,3195.812201
8800.0,1539,3313.433525
12000.0,2017,3318.554584
11200.0,1114,3321.341559
17600.0,1780,3325.916234
16800.0,1884,3330.765965
17600.0,2128,3439.559423
9600.0,1442,3443.24341
17600.0,1831,3448.152995
5600.0,1056,3451.038816
8800.0,1493,3455.217055
12000.0,1534,3459.903281
17600.0,2193,3597.769121
16000.0,2147,3603.460831
12000.0,1333,3606.858453
12000.0,1490,3611.077025
16800.0,1790,3727.520666
17600.0,1986,3733.095653
17600.0,1886,3738.522233
2400.0,751,3740.549352
4800.0,816,3742.748982
