#{"t_start": 1756031459.35525, "env_id": "None"}
r,l,t
0.0,56,4.778222
0.0,64,4.864853
0.0,16,4.944048
0.0,9,4.96037
0.0,16,5.116446
0.0,18,5.264458
0.0,116,5.351552
0.0,17,5.442308
0.0,63,5.560537
0.0,45,5.933427
0.0,68,5.961692
0.0,14,6.060737
0.0,205,6.139384
0.0,11,6.227693
0.0,96,6.25533
0.0,2,6.275895
0.0,7,6.29514
0.0,44,6.337231
0.0,30,6.516994
0.0,55,6.766674
0.0,38,6.818188
0.0,100,6.881522
0.0,25,6.995063
2.0,86,7.007775
0.0,26,7.061411
0.0,10,7.103702
0.0,27,7.131976
0.0,36,7.409246
0.0,12,7.511129
0.0,11,7.60906
0.0,42,7.928493
0.0,44,8.270998
0.0,1,8.283051
0.0,3,8.310542
0.0,152,8.310602
0.0,1,8.323113
0.0,8,8.387783
0.0,175,8.468176
0.0,30,8.638065
0.0,1,8.660764
0.0,7,8.729316
0.0,69,8.931255
0.0,23,8.944381
0.0,238,8.985129
0.0,4,9.018605
0.0,25,9.172872
0.0,13,9.295374
0.0,31,9.317388
0.0,17,9.46999
0.0,17,9.491033
0.0,9,9.548584
0.0,138,9.739681
0.0,30,9.795241
0.0,12,9.835859
0.0,27,10.040726
0.0,41,10.109789
0.0,6,10.162784
2.0,93,10.274585
0.0,9,10.274807
0.0,25,10.308561
0.0,61,10.949837
2.0,14,11.068182
0.0,237,11.159031
0.0,13,11.18409
0.0,95,11.24274
0.0,34,11.620932
0.0,52,11.703192
0.0,3,11.740247
0.0,19,12.029455
0.0,18,12.131947
0.0,91,12.336353
0.0,27,12.415191
0.0,3,12.449308
0.0,14,12.50502
0.0,46,12.520476
0.0,208,12.669017
0.0,1,12.685281
0.0,2,12.708573
0.0,4,12.747443
0.0,24,12.776766
0.0,59,13.063013
0.0,65,13.802654
0.0,38,13.850773
0.0,28,14.646745
0.0,157,15.198795
0.0,4,15.240169
0.0,155,15.390246
0.0,1,15.403808
0.0,61,15.416765
0.0,5,15.45204
0.0,13,15.524571
0.0,18,15.592391
0.0,10,15.683867
0.0,157,15.904499
0.0,3,15.930254
0.0,2,15.948988
0.0,61,15.995967
0.0,33,16.195267
0.0,33,16.24212
0.0,7,16.265714
0.0,139,16.339152
0.0,13,16.364783
0.0,22,16.50787
0.0,21,16.519476
0.0,2,16.545019
0.0,110,16.545074
0.0,54,16.687537
0.0,16,16.812767
0.0,13,16.909832
2.0,98,17.254447
0.0,114,17.376839
0.0,18,17.388812
0.0,2,17.408105
0.0,70,17.4323
0.0,129,17.507045
0.0,14,17.530466
0.0,8,17.58976
0.0,14,17.62564
0.0,29,17.625727
0.0,2,17.644994
0.0,7,17.697789
0.0,15,17.716462
0.0,3,17.741624
0.0,9,17.807749
0.0,42,17.946831
0.0,36,17.977381
0.0,30,18.039791
1.0,96,18.187666
0.0,29,18.206897
0.0,35,18.463412
0.0,3,18.489107
0.0,4,18.523275
0.0,15,18.652802
0.0,90,18.885173
0.0,111,18.90414
0.0,19,19.026993
0.0,55,19.06704
0.0,11,19.113071
0.0,16,19.188553
0.0,14,19.299053
0.0,55,19.333126
0.0,177,19.333184
0.0,4,19.366028
0.0,55,19.541608
0.0,24,19.541674
0.0,1,19.559614
0.0,26,19.75045
0.0,82,19.95371
0.0,40,20.041115
0.0,7,20.094044
0.0,3,20.119985
0.0,1,20.142762
2.0,25,20.162041
0.0,113,20.192787
0.0,4,20.253211
0.0,64,20.672358
0.0,37,20.947874
0.0,1,20.966578
0.0,175,21.478315
0.0,176,21.552153
0.0,4,21.584561
0.0,24,21.658625
0.0,12,21.681455
0.0,115,21.80974
0.0,23,21.849264
0.0,307,21.902321
0.0,23,22.030503
0.0,66,22.40549
0.0,82,22.437927
0.0,2,22.45671
0.0,7,22.46829
0.0,115,22.541217
0.0,29,22.703053
0.0,22,22.738826
0.0,36,22.768106
0.0,26,22.972051
0.0,34,23.005898
0.0,142,134.36067
0.0,5,134.402383
0.0,2,134.421193
0.0,13,134.516922
0.0,51,134.571899
1.0,17,134.698363
0.0,101,134.747528
0.0,33,134.798211
0.0,78,135.329961
0.0,2,135.348806
0.0,7,135.402291
0.0,185,135.603219
0.0,2,135.622836
0.0,7,135.679776
0.0,4,135.712803
0.0,10,135.802634
0.0,53,135.834803
1.0,174,136.05675
1.0,175,136.137703
0.0,31,136.361193
0.0,80,136.428364
0.0,10,136.440255
0.0,2,136.45914
0.0,6,136.484853
0.0,10,136.55964
0.0,8,136.62024
0.0,108,136.641247
0.0,24,136.665239
0.0,82,136.704501
0.0,13,136.750389
0.0,13,136.769236
0.0,1,136.780871
0.0,11,136.814295
0.0,23,136.962255
0.0,64,137.362359
0.0,59,137.6769
0.0,7,137.767101
0.0,32,137.866399
0.0,20,137.950797
0.0,136,138.094189
0.0,18,138.113695
0.0,1,138.113753
0.0,3,138.154891
0.0,19,138.335445
0.0,4,138.392659
0.0,21,138.574054
0.0,12,138.678386
2.0,38,138.990755
0.0,220,139.041407
0.0,9,139.210252
0.0,9,139.233658
0.0,6,139.317595
0.0,22,139.445658
0.0,21,139.532258
0.0,203,139.86388
0.0,50,139.901406
0.0,14,140.012092
0.0,55,140.025211
0.0,21,140.185594
0.0,10,140.269758
2.0,44,140.283054
0.0,14,140.390371
0.0,266,140.638042
0.0,10,140.873401
0.0,88,140.905219
0.0,42,140.905277
0.0,14,141.052053
0.0,16,141.0825
0.0,30,141.212331
0.0,18,141.244934
0.0,4,141.281996
0.0,5,141.32535
0.0,125,141.526689
0.0,38,141.627697
0.0,94,141.855382
0.0,15,141.973425
0.0,53,141.985153
0.0,104,142.068312
0.0,17,142.131289
0.0,20,142.15453
0.0,1,142.168084
0.0,12,142.267146
0.0,30,142.350304
0.0,12,142.452186
0.0,3,142.482755
0.0,3,142.516769
0.0,147,142.904428
0.0,7,142.968981
0.0,6,143.019239
0.0,6,143.0864
0.0,122,143.37502
