#{"t_start": 1756398273.243715, "env_id": "ALE/MarioBros-v5"}
r,l,t
1600.0,527,3.637803
0.0,860,5.3666
1600.0,1905,9.504062
0.0,928,11.332972
0.0,418,12.48146
0.0,868,14.153042
1600.0,1229,16.603154
0.0,1183,18.914466
0.0,592,20.241694
0.0,830,22.07946
0.0,662,23.38172
0.0,1487,26.351641
0.0,801,27.986077
0.0,326,28.571305
800.0,1006,30.863674
1600.0,1048,33.031318
0.0,396,33.771097
0.0,316,34.400386
0.0,1424,37.578995
0.0,838,39.202484
0.0,846,41.011711
1600.0,657,42.526472
0.0,686,44.516973
0.0,1181,46.949686
1600.0,1198,49.365133
0.0,1129,51.762536
0.0,503,52.751858
0.0,1017,54.76661
0.0,822,56.497059
0.0,1415,60.615321
0.0,1352,64.146169
0.0,908,66.034329
0.0,415,67.001088
1600.0,1331,69.772806
0.0,394,70.64105
0.0,438,71.552295
0.0,2517,76.937248
0.0,2453,85.195554
0.0,818,87.984424
0.0,415,88.734907
0.0,235,89.127252
0.0,780,90.923766
800.0,1417,93.987857
800.0,728,95.49442
0.0,400,96.576392
0.0,1823,101.639213
800.0,909,104.318359
1600.0,1843,110.947871
800.0,1409,114.987621
0.0,546,116.317016
0.0,618,118.101358
800.0,775,120.132366
800.0,1875,124.958462
0.0,1342,128.552988
0.0,533,130.015278
1600.0,1562,140.943334
1600.0,874,146.294992
0.0,394,148.231828
0.0,852,152.656721
0.0,325,154.152063
0.0,853,159.200712
0.0,487,161.63805
0.0,320,163.017744
800.0,1340,170.387511
0.0,782,174.920662
0.0,1192,181.612401
0.0,725,185.332792
0.0,1554,194.622451
1600.0,1352,202.1987
800.0,1907,215.390159
0.0,1044,222.979922
800.0,1013,231.17389
1600.0,1690,240.979898
0.0,689,244.674662
1600.0,1584,256.088616
0.0,432,258.586702
0.0,714,263.321752
0.0,844,268.971639
0.0,1159,276.195714
0.0,619,280.351806
0.0,673,284.455442
2400.0,515,286.984409
0.0,1043,292.929206
0.0,415,295.222753
0.0,465,297.78485
0.0,438,300.549078
0.0,1251,309.672629
0.0,838,314.728446
0.0,997,322.153825
0.0,825,328.031901
0.0,1447,337.74426
